Resource,type,scan_errors,license_expression,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance
/folies/AGPL-3.0.url,,,,agpl-3.0,16.00,GNU Affero General Public License 3.0,AGPL 3.0,Copyleft,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/agpl-3.0.html,http://www.fsf.org/licensing/licenses/agpl-3.0.html,https://enterprise.dejacode.com/urn/urn:dje:license:agpl-3.0,AGPL-3.0-only,https://spdx.org/licenses/AGPL-3.0-only,1,1,agpl-3.0_5.RULE,agpl-3.0,[u'agpl-3.0'],False,False,True,False,2-aho,3,3,100.00,16.00
/folies/Aladdin.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Aladdin.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Aladdin.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Aladdin.text,,,afpl-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Aladdin.text,,,,afpl-8.0,93.05,Aladdin Free Public License v8,Aladdin FPL v8,Copyleft,False,Aladdin Enterprises,http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm,http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm,https://enterprise.dejacode.com/urn/urn:dje:license:afpl-8.0,Aladdin,https://spdx.org/licenses/Aladdin,13,69,afpl-8.0.RULE,afpl-8.0,[u'afpl-8.0'],True,False,False,False,3-seq,1842,1714,93.05,100.00
/folies/Aladdin.url,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Alfresco-FLOSS.fullname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Alfresco-FLOSS.shortname,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/folies/Alfresco-FLOSS.text,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
